PANR;TIEFE;RASTER;SCHNITTP.;WL;WLD;PaNr;BLOCK;FRUFOL.;KULT.;BODBEARB.;N-DÜNG.
12;15;10.5;222;1831.5;2.429;12;1;Gemüse;Weizen;Pflug;Offizialempf.
12;30;10.5;234;1930.5;2.560;12;1;Gemüse;Weizen;Pflug;Offizialempf.
12;45;5;84;330.0;0.438;12;1;Gemüse;Weizen;Pflug;Offizialempf.
12;60;5;153;601.1;0.797;12;1;Gemüse;Weizen;Pflug;Offizialempf.
12;75;2.5;98;192.5;0.255;12;1;Gemüse;Weizen;Pflug;Offizialempf.
12;90;2.5;109;214.1;0.284;12;1;Gemüse;Weizen;Pflug;Offizialempf.
12;105;2.5;90;176.8;0.234;12;1;Gemüse;Weizen;Pflug;Offizialempf.
12;120;1;31;24.4;0.032;12;1;Gemüse;Weizen;Pflug;Offizialempf.
13;15;10.5;310;2557.5;3.392;13;1;Agrar;Weizen;Pflug;Off.--50%
13;30;10.5;270;2227.5;2.954;13;1;Agrar;Weizen;Pflug;Off.--50%
13;45;5;159;624.6;0.828;13;1;Agrar;Weizen;Pflug;Off.--50%
13;60;5;117;459.6;0.610;13;1;Agrar;Weizen;Pflug;Off.--50%
13;75;2.5;61;119.8;0.159;13;1;Agrar;Weizen;Pflug;Off.--50%
13;90;2.5;88;172.9;0.229;13;1;Agrar;Weizen;Pflug;Off.--50%
13;105;5;126;495.0;0.657;13;1;Agrar;Weizen;Pflug;Off.--50%
13;120;2.5;177;347.7;0.461;13;1;Agrar;Weizen;Pflug;Off.--50%
14;15;10.5;228;1881.0;2.495;14;1;Agrar;Weizen;Pflug;Offizialempf.
14;30;10.5;230;1897.5;2.517;14;1;Agrar;Weizen;Pflug;Offizialempf.
14;45;5;133;522.5;0.693;14;1;Agrar;Weizen;Pflug;Offizialempf.
14;60;2.5;142;278.9;0.370;14;1;Agrar;Weizen;Pflug;Offizialempf.
14;75;1;62;48.7;0.065;14;1;Agrar;Weizen;Pflug;Offizialempf.
14;90;1;22;17.3;0.023;14;1;Agrar;Weizen;Pflug;Offizialempf.
14;105;1;8;6.3;0.008;14;1;Agrar;Weizen;Pflug;Offizialempf.
14;120;1;7;5.5;0.007;14;1;Agrar;Weizen;Pflug;Offizialempf.
15;15;10.5;187;1542.8;2.046;15;1;Gemüse;Weizen;Pflug;Off.--50%
15;30;10.5;286;2359.5;3.129;15;1;Gemüse;Weizen;Pflug;Off.--50%
15;45;10.5;153;1262.3;1.674;15;1;Gemüse;Weizen;Pflug;Off.--50%
15;60;5;118;463.6;0.615;15;1;Gemüse;Weizen;Pflug;Off.--50%
15;75;1;80;62.9;0.083;15;1;Gemüse;Weizen;Pflug;Off.--50%
15;90;1;71;55.8;0.074;15;1;Gemüse;Weizen;Pflug;Off.--50%
15;105;1;46;36.1;0.048;15;1;Gemüse;Weizen;Pflug;Off.--50%
15;120;1;32;25.1;0.033;15;1;Gemüse;Weizen;Pflug;Off.--50%
30;15;10.5;263;2169.8;2.878;30;2;Agrar;Weizen;Pflug;Off.--50%
30;30;10.5;245;2021.3;2.681;30;2;Agrar;Weizen;Pflug;Off.--50%
30;45;10.5;160;1320.0;1.751;30;2;Agrar;Weizen;Pflug;Off.--50%
30;60;2.5;188;369.3;0.490;30;2;Agrar;Weizen;Pflug;Off.--50%
30;75;2.5;153;300.5;0.399;30;2;Agrar;Weizen;Pflug;Off.--50%
30;90;5;110;432.1;0.573;30;2;Agrar;Weizen;Pflug;Off.--50%
30;105;2.5;164;322.1;0.427;30;2;Agrar;Weizen;Pflug;Off.--50%
30;120;1;62;48.7;0.065;30;2;Agrar;Weizen;Pflug;Off.--50%
32;15;10.5;301;2483.3;3.294;32;2;Agrar;Weizen;Pflug;Offizialempf.
32;30;10.5;286;2359.5;3.129;32;2;Agrar;Weizen;Pflug;Offizialempf.
32;45;5;174;683.6;0.907;32;2;Agrar;Weizen;Pflug;Offizialempf.
32;60;5;128;502.9;0.667;32;2;Agrar;Weizen;Pflug;Offizialempf.
32;75;2.5;100;196.4;0.261;32;2;Agrar;Weizen;Pflug;Offizialempf.
32;90;2.5;98;192.5;0.255;32;2;Agrar;Weizen;Pflug;Offizialempf.
32;105;1;45;35.4;0.047;32;2;Agrar;Weizen;Pflug;Offizialempf.
32;120;1;9;7.1;0.009;32;2;Agrar;Weizen;Pflug;Offizialempf.
46;15;10.5;279;2301.8;3.053;46;2;Gemüse;Weizen;Pflug;Offizialempf.
46;30;10.5;166;1369.5;1.816;46;2;Gemüse;Weizen;Pflug;Offizialempf.
46;45;10.5;103;849.8;1.127;46;2;Gemüse;Weizen;Pflug;Offizialempf.
46;60;10.5;269;2219.3;2.943;46;2;Gemüse;Weizen;Pflug;Offizialempf.
46;75;2.5;148;290.7;0.386;46;2;Gemüse;Weizen;Pflug;Offizialempf.
46;90;1;91;71.5;0.095;46;2;Gemüse;Weizen;Pflug;Offizialempf.
46;105;1;17;13.4;0.018;46;2;Gemüse;Weizen;Pflug;Offizialempf.
46;120;1;25;19.6;0.026;46;2;Gemüse;Weizen;Pflug;Offizialempf.
50;15;10.5;211;1740.8;2.309;50;2;Gemüse;Weizen;Pflug;Off.--50%
50;30;10.5;261;2153.3;2.856;50;2;Gemüse;Weizen;Pflug;Off.--50%
50;45;7.5;121;713.0;0.946;50;2;Gemüse;Weizen;Pflug;Off.--50%
50;60;5;179;703.2;0.933;50;2;Gemüse;Weizen;Pflug;Off.--50%
50;75;9;123;869.8;1.154;50;2;Gemüse;Weizen;Pflug;Off.--50%
50;90;5;129;506.8;0.672;50;2;Gemüse;Weizen;Pflug;Off.--50%
50;105;5;71;278.9;0.370;50;2;Gemüse;Weizen;Pflug;Off.--50%
50;120;5;69;271.1;0.360;50;2;Gemüse;Weizen;Pflug;Off.--50%
56;15;10.5;221;1823.3;2.418;56;3;Agrar;Weizen;Pflug;Offizialempf.
56;30;10.5;230;1897.5;2.517;56;3;Agrar;Weizen;Pflug;Offizialempf.
56;45;9;189;1336.5;1.773;56;3;Agrar;Weizen;Pflug;Offizialempf.
56;60;7.5;155;913.4;1.211;56;3;Agrar;Weizen;Pflug;Offizialempf.
56;75;7.5;247;1455.5;1.930;56;3;Agrar;Weizen;Pflug;Offizialempf.
56;90;5;171;671.8;0.891;56;3;Agrar;Weizen;Pflug;Offizialempf.
56;105;9;151;1067.8;1.416;56;3;Agrar;Weizen;Pflug;Offizialempf.
56;120;1;52;40.9;0.054;56;3;Agrar;Weizen;Pflug;Offizialempf.
59;15;10.5;231;1905.8;2.528;59;3;Agrar;Weizen;Pflug;Off.--50%
59;30;10.5;297;2450.3;3.250;59;3;Agrar;Weizen;Pflug;Off.--50%
59;45;7.5;147;866.3;1.149;59;3;Agrar;Weizen;Pflug;Off.--50%
59;60;7.5;129;760.2;1.008;59;3;Agrar;Weizen;Pflug;Off.--50%
59;75;5;121;475.4;0.630;59;3;Agrar;Weizen;Pflug;Off.--50%
59;90;5;111;436.1;0.578;59;3;Agrar;Weizen;Pflug;Off.--50%
59;105;5;103;404.6;0.537;59;3;Agrar;Weizen;Pflug;Off.--50%
59;120;1;91;71.5;0.095;59;3;Agrar;Weizen;Pflug;Off.--50%
63;15;10.5;179;1476.8;1.959;63;3;Gemüse;Weizen;Pflug;Offizialempf.
63;30;10.5;349;2879.3;3.819;63;3;Gemüse;Weizen;Pflug;Offizialempf.
63;45;10.5;114;940.5;1.247;63;3;Gemüse;Weizen;Pflug;Offizialempf.
63;60;7.5;213;1255.2;1.665;63;3;Gemüse;Weizen;Pflug;Offizialempf.
63;75;2.5;233;457.7;0.607;63;3;Gemüse;Weizen;Pflug;Offizialempf.
63;90;1;176;138.3;0.183;63;3;Gemüse;Weizen;Pflug;Offizialempf.
63;105;1;113;88.8;0.118;63;3;Gemüse;Weizen;Pflug;Offizialempf.
63;120;1;109;85.6;0.114;63;3;Gemüse;Weizen;Pflug;Offizialempf.
68;15;10.5;218;1798.5;2.385;68;3;Gemüse;Weizen;Pflug;Off.--50%
68;30;10.5;241;1988.3;2.637;68;3;Gemüse;Weizen;Pflug;Off.--50%
68;45;5;183;718.9;0.954;68;3;Gemüse;Weizen;Pflug;Off.--50%
68;60;2.5;59;115.9;0.154;68;3;Gemüse;Weizen;Pflug;Off.--50%
68;75;2.5;135;265.2;0.352;68;3;Gemüse;Weizen;Pflug;Off.--50%
68;90;1;36;28.3;0.038;68;3;Gemüse;Weizen;Pflug;Off.--50%
68;105;1;5;3.9;0.005;68;3;Gemüse;Weizen;Pflug;Off.--50%
68;120;1;10;7.9;0.010;68;3;Gemüse;Weizen;Pflug;Off.--50%
