Tag;"Tag im
140;20;5;0,00;2547,00;4499,76;12,40;87,44;2,56;16,98;16,94;16,34;15,46;15,00;17,33;16,77;8,82;0,00;;;;;;;
141;21;5;1,10;2009,99;3712,29;10,75;82,38;3,29;16,21;16,47;16,06;15,32;15,02;16,64;13,47;8,59;0,00;;;;;;;
142;22;5;0,00;2360,44;4677,87;9,10;79,42;4,55;14,48;15,19;15,11;14,66;14,64;15,03;12,38;5,60;0,00;;;;;;;
143;23;5;0,00;3943,06;6820,36;9,49;79,91;3,44;14,36;14,66;14,44;14,00;14,09;14,89;15,17;3,97;0,00;;;;;;;
144;24;5;2,20;1421,45;2619,24;11,22;88,38;2,78;14,73;15,04;14,73;14,14;14,07;15,19;14,38;8,72;1,59;;;;;;;
145;25;5;5,70;1416,51;2294,04;11,76;99,28;2,50;14,74;14,93;14,60;14,04;13,99;15,17;14,30;9,87;0,20;;;;;;;
146;26;5;0,00;2185,45;3854,64;13,75;92,12;2,46;15,42;15,23;14,73;14,10;13,95;15,70;17,50;10,46;1,39;;;;;;;
147;27;5;4,20;2676,55;4853,28;14,34;91,31;1,78;16,39;15,92;15,24;14,46;14,14;16,62;19,07;9,96;0,60;;;;;;;
148;28;5;1,50;2998,06;4773,85;14,87;93,22;1,60;16,51;16,16;15,56;14,79;14,41;16,78;21,13;9,54;14,53;;;;;;;
149;29;5;0,00;2934,11;4871,69;16,31;96,89;2,29;18,16;17,36;16,41;15,41;14,80;18,30;21,79;11,44;1,99;;;;;;;
150;30;5;5,10;1858,26;2944,35;16,06;98,28;3,11;18,31;17,84;17,05;16,07;15,39;18,47;18,61;13,75;0,20;;;;;;;
151;31;5;0,30;3514,81;5825,20;17,74;93,57;1,66;19,46;18,44;17,37;16,34;15,60;19,69;23,30;14,96;3,18;;;;;;;
152;1;6;3,60;1197,91;2285,26;14,68;97,34;2,80;18,51;18,52;17,93;16,99;16,25;18,90;17,02;12,41;3,60;;;;;;;
153;2;6;9,80;1486,52;3359,39;15,28;93,80;1,97;16,95;17,13;16,87;16,30;15,96;17,27;19,92;10,13;9,80;;;;;;;
154;3;6;0,10;3485,26;6568,68;17,57;86,20;2,72;18,63;17,90;17,08;16,29;15,79;19,01;21,75;14,57;0,10;;;;;;;
155;4;6;0,00;3513,07;6613,34;16,50;83,39;3,08;18,98;18,45;17,65;16,71;16,04;19,12;21,04;11,94;0;;;;;;;
156;5;6;0,00;3306,84;5517,28;16,61;88,60;2,78;18,50;18,15;17,58;16,77;16,19;18,59;22,55;11,34;0;;;;;;;
157;6;6;0,10;2406,24;4659,26;19,40;90,82;2,07;19,23;18,66;17,88;16,98;16,32;19,39;25,00;13,19;0,1;;;;;;;
158;7;6;4,00;2076,33;3638,31;18,56;95,84;2,27;19,56;19,09;18,31;17,39;16,67;19,79;23,71;15,11;4;;;;;;;
159;8;6;0,00;3482,06;6499,92;16,39;84,28;3,65;19,21;18,88;18,29;17,46;16,85;19,32;19,45;13,04;0;;;;;;;
160;9;6;0,00;1349,66;2490,18;16,79;87,02;3,44;17,60;17,84;17,66;17,09;16,73;17,81;20,20;11,55;0,00;;;;;;;
161;10;6;3,60;953,22;2362,95;16,98;92,66;2,55;17,76;17,66;17,32;16,73;16,42;17,90;18,78;12,36;3,60;;;;;;;
162;11;6;5,40;2974,91;5347,07;14,89;93,72;1,73;18,05;17,74;17,26;16,62;16,30;18,23;20,11;10,95;5,40;;;;;;;
163;12;6;0,50;1054,05;2028,00;11,86;98,83;3,68;16,89;17,38;17,32;16,79;16,50;17,03;14,11;8,53;0,50;;;;;;;
164;13;6;0,00;3502,55;6537,93;10,79;78,86;1,76;15,94;15,99;15,98;15,69;15,78;16,04;15,78;4,71;0,00;;;;;;;
165;14;6;0,00;2433,19;4442,26;13,10;79,10;2,15;16,01;16,24;16,11;15,67;15,59;16,28;17,70;5,22;0,00;;;;;;;
166;15;6;0,90;3010,92;5477,34;14,81;87,42;1,67;17,54;17,07;16,50;15,84;15,60;17,71;20,21;10,35;0,90;;;;;;;
167;16;6;0,10;2842,34;4935,17;14,25;90,51;3,74;17,37;17,31;16,93;16,27;15,94;17,52;18,74;10,34;0,10;;;;;;;
168;17;6;9,80;1872,29;3379,14;12,43;91,28;4,02;16,57;16,81;16,70;16,17;15,98;16,67;14,97;10,26;9,80;;;;;;;
169;18;6;0,70;1961,48;3253,77;12,47;99,24;2,47;15,71;15,94;15,90;15,56;15,58;16,04;16,69;8,25;0,70;;;;;;;
170;19;6;0,00;1621,80;2556,83;16,12;98,29;2,46;17,00;16,69;16,22;15,66;15,43;17,22;19,80;13,11;0,00;;;;;;;
171;20;6;0,00;3680,63;6069,32;19,48;90,87;1,28;19,33;18,18;17,12;16,26;15,69;19,52;25,16;14,42;0,00;;;;;;;
172;21;6;3,90;4664,51;7067,14;23,21;83,97;1,37;21,65;20,29;19,47;17,64;16,62;21,94;30,28;15,03;3,90;;;;;;;
173;22;6;0,10;2824,72;4779,16;18,89;88,30;3,79;21,84;21,25;24,60;18,85;17,73;22,09;21,76;12,75;0,10;;;;;;;
174;23;6;3,20;1810,10;3195,95;14,61;94,38;2,73;19,00;19,38;22,13;18,44;17,92;19,33;18,40;10,96;3,20;;;;;;;
175;24;6;0,80;1551,74;2340,54;16,56;99,15;2,75;18,42;18,47;19,76;17,67;17,38;18,89;19,98;13,73;0,80;;;;;;;
176;25;6;0,60;4225,42;5211,38;19,26;90,30;2,55;19,69;19,10;19,70;17,63;17,16;19,99;26,57;13,03;0,60;;;;;;;
177;26;6;0,10;4479,97;6399,16;18,51;78,32;1,95;20,71;20,07;20,94;18,26;17,57;20,95;23,84;12,71;0,10;;;;;;;
178;27;6;6,30;3740,09;5371,08;19,61;79,86;1,78;21,24;20,61;21,75;18,72;17,98;21,46;23,77;14,21;6,30;;;;;;;
179;28;6;0,70;2459,20;4047,47;15,62;90,73;3,24;20,26;20,34;21,79;18,98;18,37;20,56;18,86;12,94;0,70;;;;;;;
180;29;6;0,50;3853,07;5928,78;15,73;86,58;3,25;19,28;19,33;20,18;18,34;18,04;19,62;20,50;11,12;0,50;;;;;;;
181;30;6;3,20;1024,16;1876,94;14,54;97,96;2,08;18,60;18,98;19,83;18,22;17,96;18,91;16,46;13,30;3,20;;;;;;;
182;1;7;;2251,04;3957,48;14,71;91,81;2,95;14,44;18,34;18,83;18,21;18,47;17,65;18,07;10,72;;;;;;;;
183;2;7;;3364,75;5598,83;14,58;88,60;2,39;12,52;17,03;18,15;18,18;18,82;17,41;19,45;9,56;;;;;;;;
184;3;7;;1515,58;2506,11;13,58;90,77;2,65;12,50;14,33;17,56;17,97;18,75;17,41;15,81;9,30;;;;;;;;
185;4;7;;1100,38;1816,75;14,05;96,36;3,93;12,49;14,59;16,81;17,26;17,98;16,94;15,75;11,98;;;;;;;;
186;5;7;;1492,14;2455,35;15,28;96,27;4,13;12,48;15,95;16,92;17,08;17,68;16,59;18,72;13,09;;;;;;;;
187;6;7;;2526,86;4223,18;15,41;88,93;3,95;12,47;16,95;17,36;17,32;17,87;16,60;18,62;10,33;;;;;;;;
188;7;7;;2035,12;3607,71;11,29;91,09;3,17;12,43;12,39;16,35;16,89;17,66;16,57;14,64;6,80;;;;;;;;
189;8;7;;2139,89;3118,61;12,03;96,32;4,42;12,42;12,84;15,76;16,19;16,97;16,07;16,69;9,46;;;;;;;;
190;9;7;;598,01;1066,70;12,64;102,07;2,79;12,40;12,50;14,97;15,61;16,48;15,68;15,08;8,39;;;;;;;;
191;10;7;;461,47;1497,15;16,08;88,48;2,11;12,40;18,94;17,35;16,60;16,93;15,57;20,69;12,59;;;;;;;;
192;11;7;;1997,32;3623,77;15,60;91,76;3,66;12,38;17,01;17,98;17,89;18,78;16,68;18,72;10,80;;;;;;;;
193;12;7;;912,86;1653,02;14,49;100,44;2,75;12,35;14,47;16,54;16,96;18,01;16,53;17,69;10,10;;;;;;;;
194;13;7;;990,73;1810,16;16,42;98,75;3,31;12,34;16,93;17,34;17,28;18,07;16,48;17,68;13,16;;;;;;;;
195;14;7;;1721,44;3308,48;13,75;87,33;5,46;12,31;14,46;16,04;16,60;17,65;16,36;16,43;11,42;;;;;;;;
196;15;7;;2155,02;3775,11;14,31;91,05;3,28;12,29;15,40;16,14;16,31;17,13;15,95;17,75;11,58;;;;;;;;
197;16;7;;1548,67;3011,06;14,31;95,72;2,46;12,27;15,36;16,56;16,68;17,52;16,09;17,07;12,07;;;;;;;;
198;17;7;;3167,80;4962,77;16,43;89,35;2,45;12,27;18,19;17,46;17,15;17,87;16,22;20,83;11,80;;;;;;;;
199;18;7;;2451,59;4162,40;16,08;89,50;3,50;12,25;17,61;17,95;17,83;18,74;16,79;18,57;13,03;;;;;;;;
200;19;7;;3706,91;5170,44;16,56;84,33;3,39;12,23;18,81;17,73;17,59;18,45;16,72;21,31;11,87;;;;;;;;
201;20;7;;3979,44;5651,98;22,07;80,86;1,97;12,23;24,24;19,37;18,58;19,29;17,08;31,37;11,72;;;;;;;;
202;21;7;;3266,92;4771,05;24,18;74,40;2,58;12,22;26,15;21,49;20,47;21,68;18,20;30,66;17,76;;;;;;;;
203;22;7;;3356,07;5271,58;20,14;75,75;1,84;12,19;23,02;21,18;20,68;22,57;18,81;25,06;14,02;;;;;;;;
204;23;7;;1703,11;2553,50;18,78;93,62;1,86;12,17;19,87;20,38;20,28;22,17;18,87;25,43;13,11;;;;;;;;
205;24;7;;2890,67;4385,63;18,11;83,12;2,71;12,15;19,88;19,99;19,90;21,42;18,65;21,32;14,70;;;;;;;;
206;25;7;;3298,67;4927,64;16,03;81,97;1,74;12,13;18,85;19,62;19,63;21,10;18,51;21,14;11,71;;;;;;;;
207;26;7;;3133,47;4437,60;16,38;80,00;1,37;12,11;18,46;19,08;19,14;20,50;18,25;23,09;7,50;;;;;;;;
208;27;7;;3079,86;4409,95;19,66;78,06;1,54;12,11;22,19;20,25;19,78;21,03;18,33;23,99;14,85;;;;;;;;
209;28;7;;1372,27;2285,18;16,52;95,51;2,10;12,08;17,61;19,79;19,89;21,51;18,71;19,31;14,39;;;;;;;;
210;29;7;;1520,69;2301,06;16,25;93,78;3,06;12,06;17,24;18,73;19,05;20,48;18,33;19,01;13,44;;;;;;;;
211;30;7;;2256,23;3783,05;17,28;81,80;4,29;12,05;18,60;18,39;18,58;19,72;17,93;21,64;13,14;;;;;;;;
212;31;7;;1223,88;2405,95;15,55;87,74;4,04;12,02;15,96;17,40;17,93;19,04;17,63;19,55;12,92;;;;;;;;
213;1;8;;2854,80;3717,37;17,17;84,57;1,60;12,02;19,37;18,11;17,99;18,79;17,26;22,00;11,87;;;;;;;;
214;2;8;;1154,86;1564,76;16,09;97,23;1,45;11,99;17,27;18,60;18,62;19,71;17,69;18,64;14,32;;;;;;;;
215;3;8;;2820,93;4036,19;17,88;89,26;1,69;11,98;20,35;19,23;18,90;19,82;17,73;22,94;13,91;;;;;;;;
216;4;8;;1479,13;3167,61;17,25;80,37;2,93;999,00;999,00;999,00;999,00;999,00;999,00;21,20;12,97;;;;;;;;
217;5;8;;1222,73;2935,83;15,83;76,27;3,27;999,00;999,00;999,00;999,00;999,00;999,00;19,86;11,83;;;;;;;;
218;6;8;;3098,83;5948,20;18,38;67,64;2,84;999,00;999,00;999,00;999,00;999,00;999,00;24,06;12,49;;;;;;;;
219;7;8;;1722,79;3738,77;19,06;68,69;2,23;999,00;999,00;999,00;999,00;999,00;999,00;23,30;13,83;;;;;;;;
220;8;8;;3187,11;6089,95;21,67;69,85;2,72;999,00;999,00;999,00;999,00;999,00;999,00;28,94;13,83;;;;;;;;
221;9;8;;3481,56;6562,74;19,47;60,60;2,73;999,00;999,00;999,00;999,00;999,00;999,00;24,16;15,94;;;;;;;;
222;10;8;;3526,56;6634,99;21,04;49,98;2,79;999,00;999,00;999,00;999,00;999,00;999,00;27,70;13,36;;;;;;;;
223;11;8;;3033,33;5843,03;24,15;55,39;2,40;999,00;999,00;999,00;999,00;999,00;999,00;30,66;17,75;;;;;;;;
224;12;8;;2295,19;4657,84;23,80;83,66;2,50;999,00;999,00;999,00;999,00;999,00;999,00;31,24;16,61;;;;;;;;
225;13;8;;1678,37;3667,43;16,41;101,39;3,29;999,00;999,00;999,00;999,00;999,00;999,00;19,38;13,16;;;;;;;;
226;14;8;;1341,19;3126,05;16,21;101,15;2,62;999,00;999,00;999,00;999,00;999,00;999,00;19,38;10,96;;;;;;;;
227;15;8;;2137,42;4404,52;20,02;101,19;2,97;999,00;999,00;999,00;999,00;999,00;999,00;25,40;14,69;;;;;;;;
228;16;8;;2782,72;5440,65;17,13;101,46;2,13;999,00;999,00;999,00;999,00;999,00;999,00;21,67;12,11;;;;;;;;
229;17;8;;2844,52;5539,87;18,10;68,96;1,95;999,00;999,00;999,00;999,00;999,00;999,00;24,83;10,68;;;;;;;;
230;18;8;;990,35;2562,72;16,69;79,84;2,08;999,00;999,00;999,00;999,00;999,00;999,00;19,95;13,55;;;;;;;;
231;19;8;;2777,60;5432,42;14,94;72,81;1,96;999,00;999,00;999,00;999,00;999,00;999,00;20,14;9,43;;;;;;;;
232;20;8;;2635,21;5203,79;17,55;65,42;2,85;999,00;999,00;999,00;999,00;999,00;999,00;24,16;10,77;;;;;;;;
233;21;8;;259,62;1389,42;14,24;87,35;4,19;999,00;999,00;999,00;999,00;999,00;999,00;16,22;12,21;;;;;;;;
234;22;8;;1254,05;2986,13;12,98;85,21;3,69;999,00;999,00;999,00;999,00;999,00;999,00;16,41;11,16;;;;;;;;
235;23;8;;1990,48;4168,58;13,77;77,36;3,92;999,00;999,00;999,00;999,00;999,00;999,00;18,04;10,77;;;;;;;;
236;24;8;;1015,41;2602,96;13,32;84,94;4,07;999,00;999,00;999,00;999,00;999,00;999,00;14,98;11,06;;;;;;;;
237;25;8;;1123,62;2776,71;12,96;78,76;3,43;999,00;999,00;999,00;999,00;999,00;999,00;15,75;10,77;;;;;;;;
238;26;8;;359,29;1549,45;11,63;91,39;1,59;999,00;999,00;999,00;999,00;999,00;999,00;13,16;9,63;;;;;;;;
239;27;8;;1742,73;3770,77;11,08;86,84;2,54;999,00;999,00;999,00;999,00;999,00;999,00;13,26;9,15;;;;;;;;
240;28;8;;809,80;2272,82;11,44;88,67;2,84;999,00;999,00;999,00;999,00;999,00;999,00;14,41;9,34;;;;;;;;
241;29;8;;906,06;2427,37;12,29;88,87;1,78;999,00;999,00;999,00;999,00;999,00;999,00;14,69;10,77;;;;;;;;
242;30;8;;1481,30;3351,02;12,71;83,54;1,54;999,00;999,00;999,00;999,00;999,00;999,00;16,70;8,29;;;;;;;;
243;31;8;;2303,73;4671,56;14,04;80,66;1,82;999,00;999,00;999,00;999,00;999,00;999,00;19,95;9,24;;;;;;;;
244;1;9;;;;;;;;;;;;;;;;;;;;;;
245;2;9;;;;;;;;;;;;;;;;;;;;;;
246;3;9;;;;;;;;;;;;;;;;;;;;;;
247;4;9;;;;;;;;;;;;;;;;;;;;;;
248;5;9;;;;;;;;;;;;;;;;;;;;;;
249;6;9;;;;;;;;;;;;;;;;;;;;;;
250;7;9;;;;;;;;;;;;;;;;;;;;;;
251;8;9;;;;;;;;;;;;;;;;;;;;;;
252;9;9;;;;;;;;;;;;;;;;;;;;;;
253;10;9;;;;;;;;;;;;;;;;;;;;;;
254;11;9;;;;;;;;;;;;;;;;;;;;;;
255;12;9;;;;;;;;;;;;;;;;;;;;;;
256;13;9;;;;;;;;;;;;;;;;;;;;;;
257;14;9;;;;;;;;;;;;;;;;;;;;;;
258;15;9;;;;;;;;;;;;;;;;;;;;;;
259;16;9;;;;;;;;;;;;;;;;;;;;;;
260;17;9;;;;;;;;;;;;;;;;;;;;;;
261;18;9;;;;;;;;;;;;;;;;;;;;;;
262;19;9;;;;;;;;;;;;;;;;;;;;;;
263;20;9;;;;;;;;;;;;;;;;;;;;;;
264;21;9;;;;;;;;;;;;;;;;;;;;;;
265;22;9;;;;;;;;;;;;;;;;;;;;;;
266;23;9;;;;;;;;;;;;;;;;;;;;;;
267;24;9;;;;;;;;;;;;;;;;;;;;;;
268;25;9;;;;;;;;;;;;;;;;;;;;;;
269;26;9;;;;;;;;;;;;;;;;;;;;;;
270;27;9;;;;;;;;;;;;;;;;;;;;;;
271;28;9;;;;;;;;;;;;;;;;;;;;;;
272;29;9;;;;;;;;;;;;;;;;;;;;;;
273;30;9;;;;;;;;;;;;;;;;;;;;;;
274;1;10;;;;;;;;;;;;;;;;;;;;;;
275;2;10;;;;;;;;;;;;;;;;;;;;;;
276;3;10;;;;;;;;;;;;;;;;;;;;;;
277;4;10;;;;;;;;;;;;;;;;;;;;;;
278;5;10;;;;;;;;;;;;;;;;;;;;;;
279;6;10;;;;;;;;;;;;;;;;;;;;;;
280;7;10;;;;;;;;;;;;;;;;;;;;;;
281;8;10;;;;;;;;;;;;;;;;;;;;;;
282;9;10;;;;;;;;;;;;;;;;;;;;;;
283;10;10;;;;;;;;;;;;;;;;;;;;;;
284;11;10;;;;;;;;;;;;;;;;;;;;;;
285;12;10;;;;;;;;;;;;;;;;;;;;;;
286;13;10;;;;;;;;;;;;;;;;;;;;;;
287;14;10;;;;;;;;;;;;;;;;;;;;;;
288;15;10;;;;;;;;;;;;;;;;;;;;;;
289;16;10;;;;;;;;;;;;;;;;;;;;;;
290;17;10;;;;;;;;;;;;;;;;;;;;;;
291;18;10;;;;;;;;;;;;;;;;;;;;;;
292;19;10;;;;;;;;;;;;;;;;;;;;;;
293;20;10;;;;;;;;;;;;;;;;;;;;;;
294;21;10;;;;;;;;;;;;;;;;;;;;;;
295;22;10;;;;;;;;;;;;;;;;;;;;;;
296;23;10;;;;;;;;;;;;;;;;;;;;;;
297;24;10;;;;;;;;;;;;;;;;;;;;;;
298;25;10;;;;;;;;;;;;;;;;;;;;;;
299;26;10;;;;;;;;;;;;;;;;;;;;;;
300;27;10;;;;;;;;;;;;;;;;;;;;;;
301;28;10;;;;;;;;;;;;;;;;;;;;;;
302;29;10;;;;;;;;;;;;;;;;;;;;;;
303;30;10;;;;;;;;;;;;;;;;;;;;;;
304;31;10;;;;;;;;;;;;;;;;;;;;;;
305;1;11;;;;;;;;;;;;;;;;;;;;;;
306;2;11;;;;;;;;;;;;;;;;;;;;;;
307;3;11;;;;;;;;;;;;;;;;;;;;;;
308;4;11;;;;;;;;;;;;;;;;;;;;;;
309;5;11;;;;;;;;;;;;;;;;;;;;;;
310;6;11;;;;;;;;;;;;;;;;;;;;;;
311;7;11;;;;;;;;;;;;;;;;;;;;;;
312;8;11;;;;;;;;;;;;;;;;;;;;;;
313;9;11;;;;;;;;;;;;;;;;;;;;;;
314;10;11;;;;;;;;;;;;;;;;;;;;;;
315;11;11;;;;;;;;;;;;;;;;;;;;;;
316;12;11;;;;;;;;;;;;;;;;;;;;;;
317;13;11;;;;;;;;;;;;;;;;;;;;;;
318;14;11;;;;;;;;;;;;;;;;;;;;;;
319;15;11;;;;;;;;;;;;;;;;;;;;;;
320;16;11;;;;;;;;;;;;;;;;;;;;;;
321;17;11;;;;;;;;;;;;;;;;;;;;;;
322;18;11;;;;;;;;;;;;;;;;;;;;;;
323;19;11;;;;;;;;;;;;;;;;;;;;;;
324;20;11;;;;;;;;;;;;;;;;;;;;;;
325;21;11;;;;;;;;;;;;;;;;;;;;;;
326;22;11;;;;;;;;;;;;;;;;;;;;;;
327;23;11;;;;;;;;;;;;;;;;;;;;;;
328;24;11;;;;;;;;;;;;;;;;;;;;;;
329;25;11;;;;;;;;;;;;;;;;;;;;;;
330;26;11;;;;;;;;;;;;;;;;;;;;;;
331;27;11;;;;;;;;;;;;;;;;;;;;;;
332;28;11;;;;;;;;;;;;;;;;;;;;;;
333;29;11;;;;;;;;;;;;;;;;;;;;;;
334;30;11;;;;;;;;;;;;;;;;;;;;;;
335;1;12;;;;;;;;;;;;;;;;;;;;;;
336;2;12;;;;;;;;;;;;;;;;;;;;;;
337;3;12;;;;;;;;;;;;;;;;;;;;;;
338;4;12;;;;;;;;;;;;;;;;;;;;;;
339;5;12;;;;;;;;;;;;;;;;;;;;;;
340;6;12;;;;;;;;;;;;;;;;;;;;;;
341;7;12;;;;;;;;;;;;;;;;;;;;;;
342;8;12;;;;;;;;;;;;;;;;;;;;;;
343;9;12;;;;;;;;;;;;;;;;;;;;;;
344;10;12;;;;;;;;;;;;;;;;;;;;;;
345;11;12;;;;;;;;;;;;;;;;;;;;;;
346;12;12;;;;;;;;;;;;;;;;;;;;;;
347;13;12;;;;;;;;;;;;;;;;;;;;;;
348;14;12;;;;;;;;;;;;;;;;;;;;;;
349;15;12;;;;;;;;;;;;;;;;;;;;;;
350;16;12;;;;;;;;;;;;;;;;;;;;;;
351;17;12;;;;;;;;;;;;;;;;;;;;;;
352;18;12;;;;;;;;;;;;;;;;;;;;;;
353;19;12;;;;;;;;;;;;;;;;;;;;;;
354;20;12;;;;;;;;;;;;;;;;;;;;;;
355;21;12;;;;;;;;;;;;;;;;;;;;;;
356;22;12;;;;;;;;;;;;;;;;;;;;;;
357;23;12;;;;;;;;;;;;;;;;;;;;;;
358;24;12;;;;;;;;;;;;;;;;;;;;;;
359;25;12;;;;;;;;;;;;;;;;;;;;;;
360;26;12;;;;;;;;;;;;;;;;;;;;;;
361;27;12;;;;;;;;;;;;;;;;;;;;;;
362;28;12;;;;;;;;;;;;;;;;;;;;;;
363;29;12;;;;;;;;;;;;;;;;;;;;;;
364;30;12;;;;;;;;;;;;;;;;;;;;;;
365;31;12;;;;;;;;;;;;;;;;;;;;;;
