position,depth,treatment,year,growth.stage,rld,root_res_volume
UP,6.5,L_WT,2019,BBCH14,0.5946,0.00005
IR,6.5,L_WT,2019,BBCH14,0,0.0000058568
UP,16.5,L_WT,2019,BBCH14,0.1417,0
IR,16.5,L_WT,2019,BBCH14,0,0.00001114
UP,6.5,S_rth3,2019,BBCH14,1.5432,0.0001625
IR,6.5,S_rth3,2019,BBCH14,0,0.0000742
UP,16.5,S_rth3,2019,BBCH14,0.5908,0.00002846
IR,16.5,S_rth3,2019,BBCH14,0,0.0001442
IR,6.5,S_WT,2019,BBCH14,0,0.000006454
UP,6.5,S_WT,2019,BBCH14,0,0.00001502
IR,16.5,S_WT,2019,BBCH14,0,0.0001468
UP,16.5,S_WT,2019,BBCH14,0.22,0.0000041435
IR,6.5,L_rth3,2019,BBCH14,0,0.0000062357
UP,6.5,L_rth3,2019,BBCH14,0.6774,0.0000056657
UP,16.5,L_rth3,2019,BBCH14,0,0.000007398
IR,16.5,L_rth3,2019,BBCH14,0,0.00000263
IR,6.5,S_rth3,2019,BBCH14,0,0.0000095158
UP,6.5,S_rth3,2019,BBCH14,1.6964,0.00005521
IR,16.5,S_rth3,2019,BBCH14,0,0
UP,16.5,S_rth3,2019,BBCH14,0,0.00165
IR,6.5,S_WT,2019,BBCH14,0,0.0000048015
UP,6.5,S_WT,2019,BBCH14,1.0387,0.0001945
IR,16.5,S_WT,2019,BBCH14,0,0.0001019
UP,16.5,S_WT,2019,BBCH14,0.7778,0.00001781
IR,6.5,L_rth3,2019,BBCH14,0.007037,0.00001461
UP,6.5,L_rth3,2019,BBCH14,0.3398,0.00001411
UP,16.5,L_rth3,2019,BBCH14,0.04622,0
IR,16.5,L_rth3,2019,BBCH14,0,0.00001315
IR,6.5,L_WT,2019,BBCH14,0,0
UP,6.5,L_WT,2019,BBCH14,0.803,0.000002643
UP,16.5,L_WT,2019,BBCH14,0.4506,0.0000022019
IR,16.5,L_WT,2019,BBCH14,0.2088,0.00000097966
IR,6.5,S_WT,2019,BBCH14,0,0.00001137
UP,6.5,S_WT,2019,BBCH14,0.5388,0.00005867
UP,16.5,S_WT,2019,BBCH14,0,0.00003887
IR,16.5,S_WT,2019,BBCH14,0.06676,0.00001782
UP,6.5,L_rth3,2019,BBCH14,1.1221,0.0000036687
IR,6.5,L_rth3,2019,BBCH14,0,0
UP,16.5,L_rth3,2019,BBCH14,0.18,0.00000248
IR,16.5,L_rth3,2019,BBCH14,0.1248,0
UP,6.5,L_WT,2019,BBCH14,1.358,0
IR,6.5,L_WT,2019,BBCH14,0,0.0000065137
UP,16.5,L_WT,2019,BBCH14,0.2203,0
IR,16.5,L_WT,2019,BBCH14,0.1881,0.0000032504
UP,6.5,S_rth3,2019,BBCH14,1.4016,0.0002427
IR,6.5,S_rth3,2019,BBCH14,0,0.00005225
UP,16.5,S_rth3,2019,BBCH14,0,0.00001274
IR,16.5,S_rth3,2019,BBCH14,0.1258,0.0001195
UP,6.5,L_rth3,2019,BBCH14,1.2216,0
IR,6.5,L_rth3,2019,BBCH14,0,0
UP,16.5,L_rth3,2019,BBCH14,0,0
IR,16.5,L_rth3,2019,BBCH14,0.7299,0
UP,6.5,S_WT,2019,BBCH14,1.3092,0.0001109
IR,6.5,S_WT,2019,BBCH14,0,0.00003704
UP,16.5,S_WT,2019,BBCH14,0.4872,0.0000089648
IR,16.5,S_WT,2019,BBCH14,0.6375,0.00002475
UP,6.5,S_rth3,2019,BBCH14,2.0386,0.00005256
IR,6.5,S_rth3,2019,BBCH14,0,0.0000050277
UP,16.5,S_rth3,2019,BBCH14,0.949,0.00008864
IR,16.5,S_rth3,2019,BBCH14,0,0.0000959
UP,6.5,L_WT,2019,BBCH14,1.2651,0.0000030468
IR,6.5,L_WT,2019,BBCH14,0,0.0000031443
UP,16.5,L_WT,2019,BBCH14,0.422,0
IR,16.5,L_WT,2019,BBCH14,0,0.0000035847
UP,6.5,S_WT,2019,BBCH14,3.1772,0.00004281
IR,6.5,S_WT,2019,BBCH14,0,0.0001936
UP,16.5,S_WT,2019,BBCH14,0.03475,0.0003035
IR,16.5,S_WT,2019,BBCH14,0.07116,0.00008811
UP,6.5,S_rth3,2019,BBCH14,1.6329,0.0001382
IR,6.5,S_rth3,2019,BBCH14,0,0.00003279
UP,16.5,S_rth3,2019,BBCH14,0.6753,0.0000083627
IR,16.5,S_rth3,2019,BBCH14,0.3176,0
UP,6.5,L_WT,2019,BBCH14,0.3854,0.0000069085
IR,6.5,L_WT,2019,BBCH14,0.06944,0.00001325
UP,16.5,L_WT,2019,BBCH14,0.3394,0
IR,16.5,L_WT,2019,BBCH14,0.1258,0
UP,6.5,L_rth3,2019,BBCH14,0.7357,0.0000078169
IR,6.5,L_rth3,2019,BBCH14,0.04421,0.0000026849
UP,16.5,L_rth3,2019,BBCH14,0.1532,0.0000011296
IR,16.5,L_rth3,2019,BBCH14,0.2054,0.00001196
UP,6.5,S_rth3,2019,BBCH14,0.9252,0.00004032
IR,6.5,S_rth3,2019,BBCH14,0,0.0001641
UP,16.5,S_rth3,2019,BBCH14,0.1574,0.00001191
IR,16.5,S_rth3,2019,BBCH14,0.3915,0.00007559
UP,6.5,L_WT,2019,BBCH14,0.5941,0.0000065554
IR,6.5,L_WT,2019,BBCH14,0.1394,0.00002657
UP,16.5,L_WT,2019,BBCH14,0.4484,0.00001384
IR,16.5,L_WT,2019,BBCH14,0.841,0.0000026116
UP,6.5,L_rth3,2019,BBCH14,0.3135,0.0000018479
IR,6.5,L_rth3,2019,BBCH14,0.1244,0.000001878
UP,16.5,L_rth3,2019,BBCH14,0.2889,0.00001339
IR,16.5,L_rth3,2019,BBCH14,0.2078,0.00001711
UP,6.5,S_WT,2019,BBCH14,0.8313,0.0001268
IR,6.5,S_WT,2019,BBCH14,0,0.00002027
UP,16.5,S_WT,2019,BBCH14,0.4667,0.00001136
IR,16.5,S_WT,2019,BBCH14,0,0.0001047
IR,6.5,L_WT,2019,BBCH19,0.2044,0.0000022885
IR,16.5,L_WT,2019,BBCH19,0.5034,0.00001467
IR,26.5,L_WT,2019,BBCH19,0.6536,0.0000056882
IR,36.5,L_WT,2019,BBCH19,0.6253,0.00004783
IR,6.5,S_rth3,2019,BBCH19,0.2783,0.000313
IR,16.5,S_rth3,2019,BBCH19,3.753,0.000109
IR,26.5,S_rth3,2019,BBCH19,1.1905,0.0001189
IR,36.5,S_rth3,2019,BBCH19,0.6868,0.0000051557
IR,6.5,S_WT,2019,BBCH19,0.1796,0.0000035626
IR,16.5,S_WT,2019,BBCH19,2.6317,0.0000207
IR,26.5,S_WT,2019,BBCH19,3.3986,0.000059
IR,36.5,S_WT,2019,BBCH19,1.2673,0.0001566
IR,6.5,L_rth3,2019,BBCH19,0.2617,0.0000051762
IR,16.5,L_rth3,2019,BBCH19,0.6573,0
IR,26.5,L_rth3,2019,BBCH19,1.1477,0
IR,36.5,L_rth3,2019,BBCH19,0.7123,0
IR,6.5,S_rth3,2019,BBCH19,0.6857,0.00001279
IR,16.5,S_rth3,2019,BBCH19,1.3467,0.00005417
IR,26.5,S_rth3,2019,BBCH19,0,0.0000172
IR,36.5,S_rth3,2019,BBCH19,0,0.00001489
IR,6.5,S_WT,2019,BBCH19,2.1245,0
IR,16.5,S_WT,2019,BBCH19,2.2036,0.00001398
IR,26.5,S_WT,2019,BBCH19,0.3822,0
IR,36.5,S_WT,2019,BBCH19,0.04081,0.0001587
IR,6.5,L_rth3,2019,BBCH19,1.9098,0
IR,16.5,L_rth3,2019,BBCH19,0.2101,0.0000080008
IR,26.5,L_rth3,2019,BBCH19,0.04962,0.0000023622
IR,36.5,L_rth3,2019,BBCH19,0.04995,0.00002278
IR,6.5,L_WT,2019,BBCH19,0.6164,0.00001605
IR,16.5,L_WT,2019,BBCH19,1.1727,0.0000027586
IR,26.5,L_WT,2019,BBCH19,0.3957,0.0000017457
IR,36.5,L_WT,2019,BBCH19,0.7292,0.00001805
IR,6.5,S_WT,2019,BBCH19,0.09457,0.00005097
IR,16.5,S_WT,2019,BBCH19,1.3734,0.00002128
IR,26.5,S_WT,2019,BBCH19,0.09356,0
IR,36.5,S_WT,2019,BBCH19,0.04326,0.0000028658
IR,6.5,L_rth3,2019,BBCH19,0.09353,0.0000066608
IR,16.5,L_rth3,2019,BBCH19,0.4888,0.0000050815
IR,26.5,L_rth3,2019,BBCH19,0.2681,0.000004255
IR,36.5,L_rth3,2019,BBCH19,0.7657,0
IR,6.5,L_WT,2019,BBCH19,0.6541,0
IR,16.5,L_WT,2019,BBCH19,0.7058,0.00001851
IR,26.5,L_WT,2019,BBCH19,0.8567,0.0000043636
IR,36.5,L_WT,2019,BBCH19,0.4524,0.00001776
IR,6.5,S_rth3,2019,BBCH19,0.2279,0
IR,16.5,S_rth3,2019,BBCH19,1.6117,0.0000091548
IR,26.5,S_rth3,2019,BBCH19,0.3448,0.00006617
IR,36.5,S_rth3,2019,BBCH19,1.0467,0.000006652
IR,6.5,L_rth3,2019,BBCH19,0.1306,0
IR,16.5,L_rth3,2019,BBCH19,0.8747,0.000004134
IR,26.5,L_rth3,2019,BBCH19,0.8498,0.00001303
IR,36.5,L_rth3,2019,BBCH19,0.6148,0
IR,6.5,S_WT,2019,BBCH19,0,0
IR,16.5,S_WT,2019,BBCH19,0.8576,0.0002054
IR,26.5,S_WT,2019,BBCH19,0.4345,0.00001873
IR,36.5,S_WT,2019,BBCH19,0,0.0003601
IR,6.5,S_rth3,2019,BBCH19,0,0.00002011
IR,16.5,S_rth3,2019,BBCH19,1.5663,0.000116
IR,26.5,S_rth3,2019,BBCH19,1.8744,0.000153
IR,36.5,S_rth3,2019,BBCH19,2.0602,0.00007369
IR,6.5,L_WT,2019,BBCH19,0.799,0.00001102
IR,16.5,L_WT,2019,BBCH19,0.7022,0.0000075475
IR,26.5,L_WT,2019,BBCH19,0.8937,0.0000079425
IR,36.5,L_WT,2019,BBCH19,0.3168,0.0001147
IR,6.5,S_WT,2019,BBCH19,2.7337,0.0002897
IR,16.5,S_WT,2019,BBCH19,2.035,0.00002072
IR,26.5,S_WT,2019,BBCH19,1.9376,0.00002645
IR,36.5,S_WT,2019,BBCH19,0.6661,0.0000572
IR,6.5,S_rth3,2019,BBCH19,1.1561,0
IR,16.5,S_rth3,2019,BBCH19,2.2964,0.00001433
IR,26.5,S_rth3,2019,BBCH19,1.2943,0.00003861
IR,36.5,S_rth3,2019,BBCH19,0.07703,0.00001253
IR,6.5,L_WT,2019,BBCH19,0.07243,0
IR,16.5,L_WT,2019,BBCH19,0.7029,0.0000058606
IR,26.5,L_WT,2019,BBCH19,0.6641,0
IR,36.5,L_WT,2019,BBCH19,0.6507,0
IR,6.5,L_rth3,2019,BBCH19,0.3445,0.0000047042
IR,16.5,L_rth3,2019,BBCH19,0.8575,0
IR,26.5,L_rth3,2019,BBCH19,0.8789,0.0000025546
IR,36.5,L_rth3,2019,BBCH19,0.489,0
IR,6.5,S_rth3,2019,BBCH19,0,0.00002703
IR,16.5,S_rth3,2019,BBCH19,2.4431,0.00001443
IR,26.5,S_rth3,2019,BBCH19,1.2569,0.0003982
IR,36.5,S_rth3,2019,BBCH19,0.1671,0.00006824
IR,6.5,L_WT,2019,BBCH19,0.3144,0.0000020844
IR,16.5,L_WT,2019,BBCH19,0.6036,0.0000028139
IR,26.5,L_WT,2019,BBCH19,1.1464,0.0000023687
IR,36.5,L_WT,2019,BBCH19,0.422,0.0000060614
IR,6.5,L_rth3,2019,BBCH19,0,0
IR,16.5,L_rth3,2019,BBCH19,0.5218,0.00002631
IR,26.5,L_rth3,2019,BBCH19,1.109,0.00002113
IR,36.5,L_rth3,2019,BBCH19,0.6212,0.00001311
IR,6.5,S_WT,2019,BBCH19,0.4895,0.0004547
IR,16.5,S_WT,2019,BBCH19,1.0187,0.00003089
IR,26.5,S_WT,2019,BBCH19,0.2812,0.0000044835
IR,36.5,S_WT,2019,BBCH19,0,0.000146
IR,6.5,L_WT,2019,BBCH59,0.2424,0.0000020816
IR,16.5,L_WT,2019,BBCH59,0.5189,0.00002078
IR,26.5,L_WT,2019,BBCH59,0.9784,0.00002302
IR,36.5,L_WT,2019,BBCH59,0.5374,0.0000040962
IR,6.5,S_rth3,2019,BBCH59,0.143,0.00006123
IR,16.5,S_rth3,2019,BBCH59,1.2421,0.00008196
IR,26.5,S_rth3,2019,BBCH59,1.0809,0.0002263
IR,36.5,S_rth3,2019,BBCH59,0.8287,0.0007736
IR,6.5,S_WT,2019,BBCH59,0.2073,0.00005657
IR,16.5,S_WT,2019,BBCH59,1.945,0.00009366
IR,26.5,S_WT,2019,BBCH59,2.5187,0.0002755
IR,36.5,S_WT,2019,BBCH59,1.3261,0.00008781
IR,6.5,L_rth3,2019,BBCH59,0.8541,0.0000046119
IR,16.5,L_rth3,2019,BBCH59,1.4195,0.0000092595
IR,26.5,L_rth3,2019,BBCH59,0.3409,0.00001015
IR,36.5,L_rth3,2019,BBCH59,0.8269,0.00001473
IR,6.5,S_rth3,2019,BBCH59,0.1864,0.00007714
IR,16.5,S_rth3,2019,BBCH59,1.9203,0.0000124
IR,26.5,S_rth3,2019,BBCH59,3.9439,0.0001502
IR,36.5,S_rth3,2019,BBCH59,1.0636,0.0001534
IR,6.5,S_WT,2019,BBCH59,0.05922,0.0003633
IR,16.5,S_WT,2019,BBCH59,2.1163,0.0000325
IR,26.5,S_WT,2019,BBCH59,1.4143,0.0002061
IR,36.5,S_WT,2019,BBCH59,1.6447,0.0004827
IR,6.5,L_rth3,2019,BBCH59,0.5947,0.00004101
IR,16.5,L_rth3,2019,BBCH59,0.5183,0.0001436
IR,26.5,L_rth3,2019,BBCH59,0.7833,0.00001641
IR,36.5,L_rth3,2019,BBCH59,0.1307,0.00001217
IR,6.5,L_WT,2019,BBCH59,0.2211,0
IR,16.5,L_WT,2019,BBCH59,0.8499,0.0000057796
IR,26.5,L_WT,2019,BBCH59,0.6861,0.00002271
IR,36.5,L_WT,2019,BBCH59,0.4512,0.0000044884
IR,6.5,S_WT,2019,BBCH59,0.06832,0.0000033811
IR,16.5,S_WT,2019,BBCH59,1.5431,0.0000091016
IR,26.5,S_WT,2019,BBCH59,1.076,0.0002175
IR,36.5,S_WT,2019,BBCH59,1.2019,0.0001089
IR,6.5,L_rth3,2019,BBCH59,0.06828,0
IR,16.5,L_rth3,2019,BBCH59,1.0812,0.00001091
IR,26.5,L_rth3,2019,BBCH59,0.3995,0.0000082649
IR,36.5,L_rth3,2019,BBCH59,1.0271,0.00001135
IR,6.5,L_WT,2019,BBCH59,0.01874,0
IR,16.5,L_WT,2019,BBCH59,0.3493,0.0000018285
IR,26.5,L_WT,2019,BBCH59,0.3353,0
IR,36.5,L_WT,2019,BBCH59,0.174,0.00001461
IR,6.5,S_rth3,2019,BBCH59,0.1861,0
IR,16.5,S_rth3,2019,BBCH59,2.5001,0.0000198
IR,26.5,S_rth3,2019,BBCH59,1.4085,0.0000052376
IR,36.5,S_rth3,2019,BBCH59,1.8123,0.00003537
IR,6.5,L_rth3,2019,BBCH59,0.03998,0.0000061478
IR,16.5,L_rth3,2019,BBCH59,0.3361,0.00002501
IR,26.5,L_rth3,2019,BBCH59,0.4027,0.000008603
IR,36.5,L_rth3,2019,BBCH59,0.7069,0
IR,6.5,S_WT,2019,BBCH59,0.2806,0.0000074872
IR,16.5,S_WT,2019,BBCH59,1.7453,0.0000022556
IR,26.5,S_WT,2019,BBCH59,0.7956,0.0000062452
IR,36.5,S_WT,2019,BBCH59,0.7481,0.0000010603
IR,6.5,S_rth3,2019,BBCH59,1.4742,0.0002468
IR,16.5,S_rth3,2019,BBCH59,0.7413,0.00001544
IR,26.5,S_rth3,2019,BBCH59,1.6307,0.00006418
IR,36.5,S_rth3,2019,BBCH59,1.1919,0.00008457
IR,6.5,L_WT,2019,BBCH59,0.02612,0.0000028107
IR,16.5,L_WT,2019,BBCH59,0.9004,0.0000031883
IR,26.5,L_WT,2019,BBCH59,0.3581,0.0000081817
IR,36.5,L_WT,2019,BBCH59,0.3942,0.000004633
IR,6.5,S_WT,2019,BBCH59,0.6948,0.0000090018
IR,16.5,S_WT,2019,BBCH59,2.8974,0.00001026
IR,26.5,S_WT,2019,BBCH59,1.6492,0.00004802
IR,36.5,S_WT,2019,BBCH59,0.6676,0.00003928
IR,6.5,S_rth3,2019,BBCH59,0.3623,0.00005728
IR,16.5,S_rth3,2019,BBCH59,1.9917,0.0002905
IR,26.5,S_rth3,2019,BBCH59,2.7211,0.00003876
IR,36.5,S_rth3,2019,BBCH59,0.5794,0.0002867
IR,6.5,L_WT,2019,BBCH59,0.1289,0.00003003
IR,16.5,L_WT,2019,BBCH59,0.4747,0
IR,26.5,L_WT,2019,BBCH59,0.4436,0.00004628
IR,36.5,L_WT,2019,BBCH59,0.3559,0.000009409
IR,6.5,L_rth3,2019,BBCH59,0.03705,0.00001013
IR,16.5,L_rth3,2019,BBCH59,1.3426,0.00002155
IR,26.5,L_rth3,2019,BBCH59,0.2972,0.00001035
IR,36.5,L_rth3,2019,BBCH59,0.7077,0.00001472
IR,6.5,S_rth3,2019,BBCH59,0.5966,0.00005273
IR,16.5,S_rth3,2019,BBCH59,2.6755,0.0000931
IR,26.5,S_rth3,2019,BBCH59,1.8971,0.0002355
IR,36.5,S_rth3,2019,BBCH59,0.9478,0.00001415
IR,6.5,L_WT,2019,BBCH59,0.07537,0
IR,16.5,L_WT,2019,BBCH59,0.3838,0
IR,26.5,L_WT,2019,BBCH59,0.3829,0.0000078008
IR,36.5,L_WT,2019,BBCH59,1.1683,0.00003022
IR,6.5,L_rth3,2019,BBCH59,0.5835,0.0000066639
IR,16.5,L_rth3,2019,BBCH59,0.7011,0.0000012218
IR,26.5,L_rth3,2019,BBCH59,0.5765,0.0000039042
IR,36.5,L_rth3,2019,BBCH59,0.8063,0.0000065459
IR,6.5,S_WT,2019,BBCH59,0.4004,0.00004629
IR,16.5,S_WT,2019,BBCH59,1.1351,0.0002562
IR,26.5,S_WT,2019,BBCH59,1.5305,0.000004121
IR,36.5,S_WT,2019,BBCH59,0.4756,0.00001686
IR,6.5,L_WT,2019,BBCH83,0.1788,0.00006353
IR,16.5,L_WT,2019,BBCH83,0.1628,0.00003299
IR,26.5,L_WT,2019,BBCH83,0.06121,0.0000179
IR,36.5,L_WT,2019,BBCH83,0,0.0002411
IR,6.5,S_rth3,2019,BBCH83,2.1005,0.00003452
IR,16.5,S_rth3,2019,BBCH83,3.3391,0.00006412
IR,26.5,S_rth3,2019,BBCH83,0.9502,0.00001799
IR,36.5,S_rth3,2019,BBCH83,0.172,0.0001937
IR,6.5,S_WT,2019,BBCH83,2.3622,0.00004659
IR,16.5,S_WT,2019,BBCH83,2.5577,0.000083
IR,26.5,S_WT,2019,BBCH83,4.5623,0.00008741
IR,36.5,S_WT,2019,BBCH83,1.4595,0.00004038
IR,6.5,L_rth3,2019,BBCH83,0.07396,0.00002197
IR,16.5,L_rth3,2019,BBCH83,0.2951,0.0000091377
IR,26.5,L_rth3,2019,BBCH83,0.1737,0.000008693
IR,36.5,L_rth3,2019,BBCH83,0.5733,0.0000088466
IR,6.5,S_rth3,2019,BBCH83,1.0335,0.0001436
IR,16.5,S_rth3,2019,BBCH83,4.4259,0.00019
IR,26.5,S_rth3,2019,BBCH83,3.982,0.00005259
IR,36.5,S_rth3,2019,BBCH83,0.5782,0.00001096
IR,6.5,S_WT,2019,BBCH83,0.1243,0.0000066084
IR,16.5,S_WT,2019,BBCH83,1.6822,0.00008905
IR,26.5,S_WT,2019,BBCH83,1.2578,0.0000071365
IR,36.5,S_WT,2019,BBCH83,1.2032,0.00001695
IR,6.5,L_rth3,2019,BBCH83,0.03577,0.00001159
IR,16.5,L_rth3,2019,BBCH83,0.04612,0.00001733
IR,26.5,L_rth3,2019,BBCH83,0.3241,0.00002594
IR,36.5,L_rth3,2019,BBCH83,0.2829,0.00003872
IR,6.5,L_WT,2019,BBCH83,0.1847,0.00001315
IR,16.5,L_WT,2019,BBCH83,0,0
IR,26.5,L_WT,2019,BBCH83,0.2354,0.0000061139
IR,36.5,L_WT,2019,BBCH83,0.4519,0.0001061
IR,6.5,S_WT,2019,BBCH83,0.3235,0.0000079926
IR,16.5,S_WT,2019,BBCH83,3.5114,0.00007411
IR,26.5,S_WT,2019,BBCH83,1.4036,0.0001908
IR,36.5,S_WT,2019,BBCH83,1.6491,0.000197
IR,6.5,L_rth3,2019,BBCH83,0.08164,0.0000043802
IR,16.5,L_rth3,2019,BBCH83,0.3576,0.0000016024
IR,26.5,L_rth3,2019,BBCH83,0.3181,0.0000016337
IR,36.5,L_rth3,2019,BBCH83,0.5089,0.00009446
IR,6.5,L_WT,2019,BBCH83,0.266,0.0000030909
IR,16.5,L_WT,2019,BBCH83,0.2961,0.0000081803
IR,26.5,L_WT,2019,BBCH83,0.2041,0.00002289
IR,36.5,L_WT,2019,BBCH83,0.2221,0.00001272
IR,6.5,S_rth3,2019,BBCH83,1.4593,0.00003291
IR,16.5,S_rth3,2019,BBCH83,1.0054,0.00003652
IR,26.5,S_rth3,2019,BBCH83,0.5354,0.00002623
IR,36.5,S_rth3,2019,BBCH83,0.5949,0.00003695
IR,6.5,L_rth3,2019,BBCH83,0,0
IR,16.5,L_rth3,2019,BBCH83,0.1097,0.00000307
IR,26.5,L_rth3,2019,BBCH83,0,0
IR,36.5,L_rth3,2019,BBCH83,0.3524,0.00001649
IR,6.5,S_WT,2019,BBCH83,0.1255,0.00001629
IR,16.5,S_WT,2019,BBCH83,1.6353,0.0000016889
IR,26.5,S_WT,2019,BBCH83,0.7355,0.00001489
IR,36.5,S_WT,2019,BBCH83,1.0291,0.00007726
IR,6.5,S_rth3,2019,BBCH83,4.5291,0.0001299
IR,16.5,S_rth3,2019,BBCH83,2.6107,0.0000238
IR,26.5,S_rth3,2019,BBCH83,2.2499,0.00007739
IR,36.5,S_rth3,2019,BBCH83,1.3428,0.0002052
IR,6.5,L_WT,2019,BBCH83,0.03358,0
IR,16.5,L_WT,2019,BBCH83,0,0
IR,26.5,L_WT,2019,BBCH83,0.1948,0.00001592
IR,36.5,L_WT,2019,BBCH83,0.2696,0.00001386
IR,6.5,S_WT,2019,BBCH83,0.178,0.00003964
IR,16.5,S_WT,2019,BBCH83,0.9714,0.00004759
IR,26.5,S_WT,2019,BBCH83,0.8971,0.0001847
IR,36.5,S_WT,2019,BBCH83,1.3103,0.0002536
IR,6.5,S_rth3,2019,BBCH83,0.2205,0.00009209
IR,16.5,S_rth3,2019,BBCH83,1.3874,0.00005187
IR,26.5,S_rth3,2019,BBCH83,0.7211,0.0000415
IR,36.5,S_rth3,2019,BBCH83,1.1485,0.00003814
IR,6.5,L_WT,2019,BBCH83,0.3392,0
IR,16.5,L_WT,2019,BBCH83,0,0.0000043411
IR,26.5,L_WT,2019,BBCH83,0,0.0000021336
IR,36.5,L_WT,2019,BBCH83,0.297,0.0000165
IR,6.5,L_rth3,2019,BBCH83,0.07384,0.0000026764
IR,16.5,L_rth3,2019,BBCH83,0.2203,0.0000046102
IR,26.5,L_rth3,2019,BBCH83,0.5679,0.0000089049
IR,36.5,L_rth3,2019,BBCH83,0.4506,0.0000073409
IR,6.5,S_rth3,2019,BBCH83,0.9133,0.0001842
IR,16.5,S_rth3,2019,BBCH83,1.7815,0.0001512
IR,26.5,S_rth3,2019,BBCH83,0.3946,0.00001537
IR,36.5,S_rth3,2019,BBCH83,0.3807,0.00002637
IR,6.5,L_WT,2019,BBCH83,0.1128,0.0000053207
IR,16.5,L_WT,2019,BBCH83,0.1377,0
IR,26.5,L_WT,2019,BBCH83,0.08495,0.00001361
IR,36.5,L_WT,2019,BBCH83,0.2569,0.0000060242
IR,6.5,L_rth3,2019,BBCH83,0.478,0.0000078578
IR,16.5,L_rth3,2019,BBCH83,0.2238,0.00001904
IR,26.5,L_rth3,2019,BBCH83,0.07952,0.0000029148
IR,36.5,L_rth3,2019,BBCH83,0.6609,0.00002711
IR,6.5,S_WT,2019,BBCH83,0.1024,0.0000048573
IR,16.5,S_WT,2019,BBCH83,1.5472,0.00007473
IR,26.5,S_WT,2019,BBCH83,0.9239,0.00003337
IR,36.5,S_WT,2019,BBCH83,0.4825,0.00004745
